instance_id;x;y
3D Uniform_9;-202.14662;-85.25814
3D Uniform_10;-56.24006;-162.45743
3D Uniform_11;-181.09584;-100.97939
3D Uniform_12;-276.73242;-93.32525
3D Uniform_13;-288.21055;-4.54659
3D Uniform_14;-80.49561;-62.12836
3D Uniform_15;-282.6185;-50.33003
3D Uniform_16;-317.92348;-58.08604
3D Uniform_17;-229.3642;-30.82337
3D Uniform_18;-70.40101;-201.54876
3D Uniform_19;-127.84825;-142.6229
5D Uniform_0;-247.37742;-179.52073
5D Uniform_1;-146.38446;-198.27596
5D Uniform_2;-151.62152;-234.64685
5D Uniform_3;-346.93227;-130.5102
5D Uniform_4;-372.27486;-151.17024
5D Uniform_5;-442.20814;-131.17072
5D Uniform_6;-214.31331;-158.60722
5D Uniform_7;-363.12306;-200.69223
5D Uniform_8;-338.09707;-172.75499
5D Uniform_9;-245.3237;-213.76625
5D Uniform_10;-108.47093;-250.90446
5D Uniform_11;-33.66902;-285.06675
5D Uniform_12;-320.91582;-206.81165
5D Uniform_13;-190.62746;-194.071
5D Uniform_14;-309.28526;-163.22992
5D Uniform_15;-285.50795;-205.60305
5D Uniform_16;-259.72828;-148.58036
5D Uniform_17;-310.92453;-135.18404
5D Uniform_18;-390.83957;-179.15945
5D Uniform_19;-184.0985;-226.16619
10D Uniform_0;-218.02557;-351.65173
10D Uniform_1;-136.62979;-294.76876
10D Uniform_2;-183.46535;-341.12308
10D Uniform_3;-212.05765;-301.39408
10D Uniform_4;-143.55409;-373.65493
10D Uniform_5;-83.74493;-317.76585
10D Uniform_6;-403.24376;-253.02608
10D Uniform_7;-232.83298;-279.96461
10D Uniform_8;-366.2967;-267.73786
10D Uniform_9;-330.42348;-325.647
10D Uniform_10;-289.41198;-327.25769
10D Uniform_11;-257.73269;-306.91064
10D Uniform_12;-141.67661;-319.66248
10D Uniform_13;-185.38703;-287.15849
10D Uniform_14;-96.19637;-346.2736
10D Uniform_15;-338.52102;-295.87374
10D Uniform_16;-395.60168;-299.20321
10D Uniform_17;-298.31636;-263.49458
10D Uniform_18;-455.61081;-222.60124
10D Uniform_19;-324.22051;-272.06624
20D Uniform_0;-349.6696;-374.683
20D Uniform_1;-165.51704;-399.68898
20D Uniform_2;-275.31626;-411.77437
20D Uniform_3;-387.25218;-405.75179
20D Uniform_4;-414.65953;-331.92651
20D Uniform_5;-392.34508;-342.28709
20D Uniform_6;-348.59375;-405.84171
20D Uniform_7;-414.97818;-402.32948
20D Uniform_8;-105.09382;-412.22594
20D Uniform_9;-220.20421;-431.99191
20D Uniform_10;-464.72155;-282.95094
20D Uniform_11;-258.198;-367.29918
20D Uniform_12;-458.38324;-318.20668
20D Uniform_13;-287.53687;-387.56665
20D Uniform_14;-523.98494;-180.10544
20D Uniform_15;-500.4459;-240.60341
20D Uniform_16;-136.70084;-435.23808
20D Uniform_17;-314.50121;-407.77162
20D Uniform_18;-304.81;-430.91695
20D Uniform_19;-216.6416;-400.51271
2D Sphere_0;-1124.09382;212.26247
2D Sphere_1;-1055.87117;201.45328
2D Sphere_2;-1155.24929;-108.56669
2D Sphere_3;-875.71788;-218.341
2D Sphere_4;-909.69466;-223.87287
2D Sphere_5;-1119.93308;173.15362
2D Sphere_6;-998.70653;117.25069
2D Sphere_7;-784.12626;44.70824
2D Sphere_8;-946.38112;-229.33542
2D Sphere_9;-1048.28639;138.06461
2D Sphere_10;-1094.92592;188.6048
2D Sphere_11;-1107.34922;-197.40369
2D Sphere_12;-1196.21637;-147.22862
2D Sphere_13;-1122.98109;143.45439
2D Sphere_14;-1130.62647;-155.27193
2D Sphere_15;-1134.00806;-124.99417
2D Sphere_16;-1068.00944;-199.71229
2D Sphere_17;-1201.69008;147.67603
2D Sphere_18;-1209.5311;121.29536
2D Sphere_19;-1133.61519;91.80719
3D Sphere_0;-1076.09144;-36.40233
3D Sphere_1;-1180.84043;-63.97131
3D Sphere_2;-1099.48373;-13.18354
3D Sphere_3;-1117.67598;49.47498
3D Sphere_4;-944.35957;143.51683
3D Sphere_5;-1199.20782;32.0814
3D Sphere_6;-1049.87;102.09225
3D Sphere_7;-979.66513;62.09988
3D Sphere_8;-1026.69541;-116.51104
3D Sphere_9;-809.0955;-9.53789
3D Sphere_10;-1031.62362;-82.49256
3D Sphere_11;-783.7171;-64.16761
3D Sphere_12;-911.49508;117.04736
3D Sphere_13;-946.97627;-167.45235
3D Sphere_14;-1113.06751;-84.96458
3D Sphere_15;-1064.33795;81.48152
3D Sphere_16;-809.13348;-129.11608
3D Sphere_17;-863.07775;-48.2584
3D Sphere_18;-1094.14406;76.73374
3D Sphere_19;-1163.94444;123.68653
5D Sphere_0;-1095.90993;12.01411
5D Sphere_1;-1005.03255;-66.37867
5D Sphere_2;-881.27246;-124.28108
5D Sphere_3;-945.818;88.10065
5D Sphere_4;-856.54985;43.42453
5D Sphere_5;-1144.38502;-22.58068
5D Sphere_6;-932.14033;35.80435
5D Sphere_7;-922.79632;93.89798
5D Sphere_8;-862.40943;21.88651
5D Sphere_9;-935.92641;-137.81685
5D Sphere_10;-1178.85672;55.32241
5D Sphere_11;-1073.18207;35.6313
5D Sphere_12;-1021.95857;-139.93337
5D Sphere_13;-1153.72027;63.37272
5D Sphere_14;-1226.17667;28.30194
5D Sphere_15;-1039.0314;54.16338
5D Sphere_16;-905.69816;-14.90139
5D Sphere_17;-888.92375;-95.19128
5D Sphere_18;-1133.40167;4.25844
5D Sphere_19;-1164.48985;8.96331
GS Balanced_0;-727.96528;281.5279
GS Balanced_1;-1027.78443;-356.44371
GS Balanced_2;-814.29142;366.96324
GS Balanced_3;-938.25003;346.99675
GS Balanced_4;-1029.02396;380.02162
GS Balanced_5;-770.50265;350.37946
GS Balanced_6;-961.70148;367.66714
GS Balanced_7;-903.33859;356.50939
GS Balanced_8;-936.54527;406.74039
GS Balanced_9;-845.73905;386.79421
GS Balanced_10;-818.22599;298.88428
GS Balanced_11;-872.47125;344.36874
GS Balanced_12;-888.33878;391.96802
GS Balanced_13;-1091.68495;384.97496
GS Balanced_14;-785.33335;317.33203
GS Balanced_15;-1053.99995;349.40097
GS Balanced_16;-991.26305;413.40507
GS Balanced_17;-1138.17692;370.77813
GS Balanced_18;-861.04463;313.38067
GS Balanced_19;-990.29936;362.28746
GS Caterpillar_0;-283.4711;1320.92115
GS Caterpillar_1;-336.29091;1292.1628
GS Caterpillar_2;-351.73437;1223.1292
GS Caterpillar_3;-395.65779;1240.38785
GS Caterpillar_4;-150.13215;1148.27313
GS Caterpillar_5;-393.547;1142.05122
GS Caterpillar_6;-172.41812;1242.47554
GS Caterpillar_7;-419.17079;1191.55242
GS Caterpillar_8;-344.1943;1159.82297
GS Caterpillar_9;-217.14618;1210.60406
GS Caterpillar_10;-282.33977;1193.00729
GS Caterpillar_11;-241.48252;1276.90957
