instance_id;x;y
3D Uniform_12;1.13318;-21.69041
3D Uniform_13;1.27941;-23.79736
3D Uniform_14;5.61279;-23.89054
3D Uniform_15;1.27967;-22.99557
3D Uniform_16;1.03924;-22.72108
3D Uniform_17;1.94333;-23.5007
3D Uniform_18;6.32373;-22.72578
3D Uniform_19;5.20913;-22.20758
5D Uniform_0;2.0948;-19.8032
5D Uniform_1;5.02687;-20.3563
5D Uniform_2;4.96161;-20.2233
5D Uniform_3;-0.10629;-19.84097
5D Uniform_4;-0.09413;-19.34209
5D Uniform_5;-2.48697;-17.34696
5D Uniform_6;2.6308;-20.42819
5D Uniform_7;0.33615;-19.02064
5D Uniform_8;0.5398;-19.59324
5D Uniform_9;2.5052;-19.70323
5D Uniform_10;6.45686;-20.86003
5D Uniform_11;8.26298;-20.59913
5D Uniform_12;0.44221;-20.2274
5D Uniform_13;4.1198;-20.22571
5D Uniform_14;0.48968;-20.10238
5D Uniform_15;1.39514;-19.67505
5D Uniform_16;1.53416;-20.27108
5D Uniform_17;0.99986;-19.39455
5D Uniform_18;-0.66926;-18.92113
5D Uniform_19;4.50837;-20.34998
10D Uniform_0;5.37436;-18.4683
10D Uniform_1;6.36529;-19.33824
10D Uniform_2;5.96808;-18.78907
10D Uniform_3;4.57832;-18.89948
10D Uniform_4;7.50811;-18.91419
10D Uniform_5;8.04744;-19.57679
10D Uniform_6;-0.66471;-17.71608
10D Uniform_7;4.44825;-18.64511
10D Uniform_8;0.3086;-17.97208
10D Uniform_9;2.37354;-17.94607
10D Uniform_10;3.37504;-18.23937
10D Uniform_11;3.9394;-18.36762
10D Uniform_12;6.68048;-19.42468
10D Uniform_13;5.29922;-19.07559
10D Uniform_14;8.00938;-19.32642
10D Uniform_15;2.03954;-18.45973
10D Uniform_16;0.22435;-17.53281
10D Uniform_17;1.52917;-18.39711
10D Uniform_18;-2.36373;-16.88413
10D Uniform_19;1.88462;-18.1179
20D Uniform_0;2.84255;-17.20099
20D Uniform_1;7.52995;-18.86104
20D Uniform_2;4.20072;-17.39648
20D Uniform_3;1.13768;-16.83521
20D Uniform_4;-0.45007;-17.25889
20D Uniform_5;-0.00388;-17.40846
20D Uniform_6;3.26965;-17.2643
20D Uniform_7;0.77824;-16.8818
20D Uniform_8;8.46062;-18.48614
20D Uniform_9;6.59047;-18.23369
20D Uniform_10;-2.10426;-16.79746
20D Uniform_11;4.68953;-17.76321
20D Uniform_12;-1.83753;-16.82188
20D Uniform_13;4.43016;-17.74241
20D Uniform_14;-3.28408;-15.58315
20D Uniform_15;-2.88525;-16.19629
20D Uniform_16;8.48719;-18.7652
20D Uniform_17;3.93471;-17.10885
20D Uniform_18;4.46849;-17.15257
20D Uniform_19;5.91693;-18.10565
