instance_id;x;y
3D Uniform_13;-0.10414;0.12297
3D Uniform_14;-0.10387;0.12295
3D Uniform_15;-0.10416;0.12286
3D Uniform_16;-0.10419;0.12294
3D Uniform_17;-0.10409;0.12286
3D Uniform_18;-0.10389;0.1228
3D Uniform_19;-0.104;0.12277
5D Uniform_0;-0.10414;0.12273
5D Uniform_1;-0.10404;0.12275
5D Uniform_2;-0.10406;0.12268
5D Uniform_3;-0.10425;0.12285
5D Uniform_4;-0.10424;0.12287
5D Uniform_5;-0.10437;0.12318
5D Uniform_6;-0.10412;0.12272
5D Uniform_7;-0.10424;0.12283
5D Uniform_8;-0.10423;0.12281
5D Uniform_9;-0.10413;0.12272
5D Uniform_10;-0.10398;0.12269
5D Uniform_11;-0.1037;0.12298
5D Uniform_12;-0.10419;0.12276
5D Uniform_13;-0.10409;0.12269
5D Uniform_14;-0.10423;0.12281
5D Uniform_15;-0.10417;0.12272
5D Uniform_16;-0.10416;0.12272
5D Uniform_17;-0.1042;0.12276
5D Uniform_18;-0.10429;0.12295
5D Uniform_19;-0.10407;0.12267
10D Uniform_0;-0.10405;0.12267
10D Uniform_1;-0.10398;0.12268
10D Uniform_2;-0.10401;0.12267
10D Uniform_3;-0.10408;0.12267
10D Uniform_4;-0.10389;0.12276
10D Uniform_5;-0.10384;0.12281
10D Uniform_6;-0.10431;0.12298
10D Uniform_7;-0.10411;0.12265
10D Uniform_8;-0.10426;0.12282
10D Uniform_9;-0.10415;0.12273
10D Uniform_10;-0.10416;0.12267
10D Uniform_11;-0.10413;0.12265
10D Uniform_12;-0.10398;0.12268
10D Uniform_13;-0.10407;0.12264
10D Uniform_14;-0.10385;0.1228
10D Uniform_15;-0.10416;0.12271
10D Uniform_16;-0.10427;0.12291
10D Uniform_17;-0.10418;0.12269
10D Uniform_18;-0.10438;0.12315
10D Uniform_19;-0.10417;0.12267
20D Uniform_0;-0.10416;0.12269
20D Uniform_1;-0.10389;0.12276
20D Uniform_2;-0.10414;0.12269
20D Uniform_3;-0.10424;0.12289
20D Uniform_4;-0.10431;0.12297
20D Uniform_5;-0.10427;0.1229
20D Uniform_6;-0.10416;0.12269
20D Uniform_7;-0.10425;0.12295
20D Uniform_8;-0.10374;0.12293
20D Uniform_9;-0.10398;0.1227
20D Uniform_10;-0.10437;0.12315
20D Uniform_11;-0.10411;0.12266
20D Uniform_12;-0.10437;0.12312
20D Uniform_13;-0.10411;0.12267
20D Uniform_14;-0.10473;0.12404
20D Uniform_15;-0.1045;0.12348
20D Uniform_16;-0.10375;0.12291
20D Uniform_17;-0.10414;0.12269
20D Uniform_18;-0.10412;0.12271
20D Uniform_19;-0.10401;0.12268
2D Sphere_0;-0.10921;0.13643
2D Sphere_1;-0.10924;0.13647
2D Sphere_2;-0.10938;0.13668
2D Sphere_3;-0.10923;0.13594
2D Sphere_4;-0.10937;0.13628
2D Sphere_5;-0.10925;0.13649
2D Sphere_6;-0.10945;0.13672
2D Sphere_7;-0.10929;0.13607
2D Sphere_8;-0.1094;0.13636
2D Sphere_9;-0.10932;0.13658
2D Sphere_10;-0.10924;0.13648
2D Sphere_11;-0.10942;0.13671
2D Sphere_12;-0.10925;0.13647
2D Sphere_13;-0.10926;0.1365
2D Sphere_14;-0.10943;0.13672
2D Sphere_15;-0.10941;0.1367
2D Sphere_16;-0.10939;0.13656
2D Sphere_17;-0.10922;0.13644
2D Sphere_18;-0.10922;0.13645
2D Sphere_19;-0.10928;0.13653
3D Sphere_0;-0.1095;0.1368
3D Sphere_1;-0.10936;0.13666
3D Sphere_2;-0.10944;0.13676
3D Sphere_3;-0.10934;0.13662
3D Sphere_4;-0.10945;0.13664
3D Sphere_5;-0.10926;0.13651
3D Sphere_6;-0.10939;0.13668
3D Sphere_7;-0.10951;0.13676
3D Sphere_8;-0.10953;0.13677
3D Sphere_9;-0.10931;0.13609
3D Sphere_10;-0.10953;0.13678
3D Sphere_11;-0.10925;0.13593
3D Sphere_12;-0.10945;0.13659
3D Sphere_13;-0.10944;0.13647
3D Sphere_14;-0.10945;0.13676
3D Sphere_15;-0.1094;0.13669
3D Sphere_16;-0.10919;0.13576
3D Sphere_17;-0.10943;0.13644
3D Sphere_18;-0.10938;0.13668
3D Sphere_19;-0.10924;0.13648
5D Sphere_0;-0.10945;0.13678
5D Sphere_1;-0.10952;0.13675
5D Sphere_2;-0.1094;0.13634
5D Sphere_3;-0.10949;0.13666
5D Sphere_4;-0.1094;0.13635
5D Sphere_5;-0.10933;0.13661
5D Sphere_6;-0.10947;0.1366
5D Sphere_7;-0.10945;0.13656
5D Sphere_8;-0.10941;0.13637
5D Sphere_9;-0.10944;0.1365
5D Sphere_10;-0.10927;0.13653
5D Sphere_11;-0.10947;0.13679
5D Sphere_12;-0.10953;0.13677
5D Sphere_13;-0.10928;0.13653
5D Sphere_14;-0.10925;0.13651
5D Sphere_15;-0.10948;0.13677
5D Sphere_16;-0.10945;0.1365
5D Sphere_17;-0.10943;0.13643
5D Sphere_18;-0.10939;0.1367
5D Sphere_19;-0.10932;0.1366
GS Balanced_0;-0.10897;0.13566
GS Balanced_1;-0.10895;0.13575
GS Balanced_2;-0.10899;0.13593
GS Balanced_3;-0.10898;0.13601
GS Balanced_4;-0.10886;0.13584
GS Balanced_5;-0.10896;0.13577
GS Balanced_6;-0.10893;0.13594
GS Balanced_7;-0.10886;0.13583
GS Balanced_8;-0.10892;0.13592
GS Balanced_9;-0.10894;0.1359
GS Balanced_10;-0.10904;0.13599
GS Balanced_11;-0.10893;0.13593
GS Balanced_12;-0.10893;0.13592
GS Balanced_13;-0.10886;0.13586
GS Balanced_14;-0.10904;0.13598
GS Balanced_15;-0.10891;0.13593
GS Balanced_16;-0.10879;0.13572
GS Balanced_17;-0.10879;0.13576
