instance_id;x;y
ID;0.90395;0.02217
UN;-0.74927;0.02217
AN;-0.07841;0.75433
ST;0.28147;-0.76331
Impartial Culture_0;-0.51851;0.03244
Impartial Culture_1;-0.53777;-0.08335
Impartial Culture_2;-0.57452;-0.03367
Impartial Culture_3;-0.5568;0.00648
Impartial Culture_4;-0.49143;-0.04456
Impartial Culture_5;-0.57987;0.0245
Impartial Culture_6;-0.5736;0.05482
Impartial Culture_7;-0.58564;-0.00769
Impartial Culture_8;-0.45434;0.03492
Impartial Culture_9;-0.54409;0.09432
Impartial Culture_10;-0.53896;0.06219
Impartial Culture_11;-0.45151;0.05997
Impartial Culture_12;-0.52654;-0.03787
Impartial Culture_13;-0.55045;-0.05722
Impartial Culture_14;-0.54812;0.03246
Impartial Culture_15;-0.48623;0.03772
Impartial Culture_16;-0.47946;0.06721
Impartial Culture_17;-0.50494;-0.01722
Impartial Culture_18;-0.45695;0.0884
Impartial Culture_19;-0.6172;-0.00377
SP by Conitzer_0;0.04579;0.16339
SP by Conitzer_1;0.03387;0.21533
SP by Conitzer_2;-0.08584;0.22835
SP by Conitzer_3;0.14663;0.24004
SP by Conitzer_4;-0.10163;0.29554
SP by Conitzer_5;0.05418;0.24512
SP by Conitzer_6;-0.13707;0.31074
SP by Conitzer_7;-0.10477;0.3692
SP by Conitzer_8;-0.04783;0.30253
SP by Conitzer_9;-0.05248;0.33386
SP by Conitzer_10;-0.15962;0.41128
SP by Conitzer_11;-0.00288;0.24756
SP by Conitzer_12;-0.11978;0.24385
SP by Conitzer_13;-0.13986;0.35187
SP by Conitzer_14;-0.17687;0.29941
SP by Conitzer_15;0.00331;0.182
SP by Conitzer_16;0.11495;0.19659
SP by Conitzer_17;-0.01127;0.32516
SP by Conitzer_18;0.06407;0.1996
SP by Conitzer_19;-0.19993;0.39246
SP by Walsh_0;0.78531;-0.37197
SP by Walsh_1;0.77531;-0.22633
SP by Walsh_2;0.82622;-0.26587
SP by Walsh_3;0.81259;-0.2296
SP by Walsh_4;0.7886;-0.34467
SP by Walsh_5;0.85006;-0.33772
SP by Walsh_6;0.75415;-0.34377
SP by Walsh_7;0.81519;-0.32362
SP by Walsh_8;0.86043;-0.27531
SP by Walsh_9;0.83151;-0.30041
SP by Walsh_10;0.79484;-0.2906
SP by Walsh_11;0.86354;-0.30706
SP by Walsh_12;0.77086;-0.31903
SP by Walsh_13;0.73599;-0.26975
SP by Walsh_14;0.79488;-0.25586
SP by Walsh_15;0.75554;-0.24784
SP by Walsh_16;0.76256;-0.28655
SP by Walsh_17;0.82155;-0.35975
SP by Walsh_18;0.73136;-0.31089
SP by Walsh_19;0.85259;-0.24294
SPOC_0;-0.5959;-0.10283
SPOC_1;-0.57201;0.16521
SPOC_2;-0.61371;-0.1282
SPOC_3;-0.47431;-0.13909
SPOC_4;-0.57531;-0.13546
SPOC_5;-0.70098;0.01649
SPOC_6;-0.68077;0.03794
SPOC_7;-0.67405;0.00084
SPOC_8;-0.61527;-0.07372
SPOC_9;-0.45751;-0.10157
SPOC_10;-0.43148;-0.12559
SPOC_11;-0.548;-0.12972
SPOC_12;-0.64451;-0.07704
SPOC_13;-0.4225;0.08416
SPOC_14;-0.60658;-0.03414
SPOC_15;-0.70505;0.06522
SPOC_16;-0.52248;0.11868
SPOC_17;-0.62293;-0.0989
SPOC_18;-0.41848;-0.19318
SPOC_19;-0.41116;0.12235
Single-Crossing_0;0.36931;-0.11912
Single-Crossing_1;0.25958;-0.25522
Single-Crossing_2;0.33835;-0.15796
Single-Crossing_3;0.26578;-0.31694
Single-Crossing_4;0.30761;-0.243
Single-Crossing_5;0.32496;-0.33183
Single-Crossing_6;0.25415;-0.12358
Single-Crossing_7;0.33964;-0.21652
Single-Crossing_8;0.35843;-0.27947
Single-Crossing_9;0.21738;-0.25505
Single-Crossing_10;0.33034;-0.06386
Single-Crossing_11;0.24931;-0.16525
Single-Crossing_12;0.32465;-0.12009
Single-Crossing_13;0.28273;-0.08916
Single-Crossing_14;0.25722;-0.35167
Single-Crossing_15;0.37998;-0.18558
Single-Crossing_16;0.29798;-0.18545
Single-Crossing_17;0.29624;-0.28423
Single-Crossing_18;0.2201;-0.30038
Single-Crossing_19;0.25241;-0.20999
1D Uniform_0;-0.04635;0.2486
1D Uniform_1;-0.00192;0.36727
1D Uniform_2;-0.0045;0.28767
1D Uniform_3;-0.19282;0.33671
1D Uniform_4;-0.07841;0.27331
1D Uniform_5;0.08648;0.24228
1D Uniform_6;0.07167;0.29568
1D Uniform_7;-0.17056;0.36797
1D Uniform_8;-0.03673;0.39592
1D Uniform_9;0.03234;0.28406
1D Uniform_10;0.09111;0.16582
1D Uniform_11;-0.04997;0.19673
1D Uniform_12;0.12363;0.29541
