instance_id;x;y
Impartial Culture_0;-7.80881;-4.1201
Impartial Culture_1;-8.87444;-4.07077
Impartial Culture_2;-8.08187;-2.48115
Impartial Culture_3;-8.78621;-2.4642
Impartial Culture_4;-8.4265;-3.16741
Impartial Culture_5;-9.63857;-3.56631
Impartial Culture_6;-7.77604;-2.46979
Impartial Culture_7;-9.64691;-3.81271
Impartial Culture_8;-7.71827;-1.75621
Impartial Culture_9;-5.8593;-3.62255
Impartial Culture_10;-8.69255;-3.71302
Impartial Culture_11;-9.04003;-3.21542
Impartial Culture_12;-8.83473;-2.98382
Impartial Culture_13;-8.36968;-4.45278
Impartial Culture_14;-7.82291;-4.5078
Impartial Culture_15;-6.98933;-2.76828
Impartial Culture_16;-5.81966;-3.25554
Impartial Culture_17;-9.05917;-3.87571
Impartial Culture_18;-7.39566;-3.21813
Impartial Culture_19;-7.11065;-4.01742
SP by Conitzer_0;-4.91233;5.63953
SP by Conitzer_1;-4.4742;5.41561
SP by Conitzer_2;-1.85074;4.11912
SP by Conitzer_3;-1.26468;4.32081
SP by Conitzer_4;-3.30747;4.62527
SP by Conitzer_5;-3.93767;5.25327
SP by Conitzer_6;-2.33267;4.45862
SP by Conitzer_7;-3.93823;4.82093
SP by Conitzer_8;-3.11526;4.29929
SP by Conitzer_9;-1.6072;4.60802
SP by Conitzer_10;-3.75026;5.09299
SP by Conitzer_11;-3.63321;4.87571
SP by Conitzer_12;-5.27718;5.37994
SP by Conitzer_13;-2.31748;4.40154
SP by Conitzer_14;-4.24133;5.44735
SP by Conitzer_15;-4.39495;5.24349
SP by Conitzer_16;-4.55032;5.05056
SP by Conitzer_17;-3.91986;5.13563
SP by Conitzer_18;-2.90499;5.15797
SP by Conitzer_19;-2.89422;4.67659
SP by Walsh_0;11.72748;2.53625
SP by Walsh_1;8.75625;3.80419
SP by Walsh_2;10.84575;2.26514
SP by Walsh_3;10.14679;3.65455
SP by Walsh_4;9.19874;3.1159
SP by Walsh_5;9.78317;2.65381
SP by Walsh_6;8.94202;2.7364
SP by Walsh_7;8.56781;3.3957
SP by Walsh_8;9.68299;2.56155
SP by Walsh_9;10.93047;2.32166
SP by Walsh_10;10.36005;2.35101
SP by Walsh_11;11.15797;3.45829
SP by Walsh_12;9.58961;3.66282
SP by Walsh_13;10.87157;1.89127
SP by Walsh_14;9.92861;3.04463
SP by Walsh_15;8.0139;3.93845
SP by Walsh_16;10.15988;3.23532
SP by Walsh_17;9.71778;4.1271
SP by Walsh_18;8.56835;2.99139
SP by Walsh_19;9.95489;2.51855
SPOC_0;-6.07598;-2.98575
SPOC_1;-8.84561;-4.23219
SPOC_2;-6.96894;-3.51025
SPOC_3;-10.00624;-3.74408
SPOC_4;-6.44003;-3.48964
SPOC_5;-9.21874;-2.99691
SPOC_6;-8.0607;-3.96511
SPOC_7;-8.24175;-3.19736
SPOC_8;-9.10264;-2.75048
SPOC_9;-6.32585;-2.8981
SPOC_10;-7.12109;-3.87794
SPOC_11;-5.81415;-3.77707
SPOC_12;-7.9417;-2.64073
SPOC_13;-9.53738;-3.31851
SPOC_14;-5.06557;-2.88403
SPOC_15;-9.48118;-3.08278
SPOC_16;-4.90033;-3.73728
SPOC_17;-8.30503;-4.0946
SPOC_18;-10.19534;-3.06005
SPOC_19;-5.25136;-4.04517
Single-Crossing_0;6.79754;-2.98925
Single-Crossing_1;5.20936;-4.28615
Single-Crossing_2;7.9921;-1.82006
Single-Crossing_3;6.47225;-1.24693
Single-Crossing_4;6.32853;5.13335
Single-Crossing_5;9.04225;-2.26358
Single-Crossing_6;4.22703;2.30886
Single-Crossing_7;6.29509;-3.9187
Single-Crossing_8;7.2154;-3.58202
Single-Crossing_9;4.93433;5.15554
Single-Crossing_10;4.57036;1.90903
Single-Crossing_11;5.54879;-1.17935
Single-Crossing_12;4.42759;4.05141
Single-Crossing_13;5.58729;4.66576
Single-Crossing_14;7.48724;-4.28417
Single-Crossing_15;4.10481;-2.23607
Single-Crossing_16;6.46298;0.34009
Single-Crossing_17;5.43659;-2.68704
Single-Crossing_18;7.47393;-1.16623
Single-Crossing_19;5.76027;-2.48079
1D Interval_0;-2.68345;5.34099
1D Interval_1;0.04652;5.16007
1D Interval_2;-1.86505;4.87727
1D Interval_3;-4.18448;4.75098
1D Interval_4;-3.18889;5.84622
1D Interval_5;-1.54349;4.1964
1D Interval_6;-3.43814;5.27616
1D Interval_7;0.67412;5.29306
1D Interval_8;-3.54969;6.26353
1D Interval_9;-1.3842;5.431
1D Interval_10;-0.92683;5.43202
1D Interval_11;-4.35578;5.32231
1D Interval_12;-0.05054;8.56158
1D Interval_13;-3.57811;5.7318
1D Interval_14;-0.56483;-5.68921
