instance_id;x;y
ID;22.82927;0.46773
UN;-10.63668;0.46773
AN;-1.38822;13.38706
ST;11.46007;-12.42801
Impartial Culture_0;-9.08004;0.54611
Impartial Culture_1;-7.96599;-0.43008
Impartial Culture_2;-8.38084;0.03467
Impartial Culture_3;-8.57553;-0.37818
Impartial Culture_4;-8.8488;0.32798
Impartial Culture_5;-8.5489;-0.23916
Impartial Culture_6;-7.63198;0.02076
Impartial Culture_7;-7.97526;-0.52166
Impartial Culture_8;-7.92919;-0.8929
Impartial Culture_9;-9.27133;0.59282
Impartial Culture_10;-8.20592;-0.84166
Impartial Culture_11;-8.60136;-0.47442
Impartial Culture_12;-8.74865;-0.22183
Impartial Culture_13;-8.1098;0.65813
Impartial Culture_14;-8.9529;0.14593
Impartial Culture_15;-8.10813;0.77303
Impartial Culture_16;-9.11814;0.45619
Impartial Culture_17;-8.21459;0.21251
Impartial Culture_18;-8.23106;0.01587
Impartial Culture_19;-8.41122;-0.33396
SP by Conitzer_0;0.6135;2.84011
SP by Conitzer_1;-1.33515;-5.73356
SP by Conitzer_2;2.81403;0.73217
SP by Conitzer_3;0.01478;-4.97721
SP by Conitzer_4;0.60333;3.29222
SP by Conitzer_5;-0.40943;4.51779
SP by Conitzer_6;1.20322;2.12068
SP by Conitzer_7;-3.29948;-6.06782
SP by Conitzer_8;2.38184;1.76621
SP by Conitzer_9;-3.88849;-6.33238
SP by Conitzer_10;-0.55925;4.84552
SP by Conitzer_11;-0.17806;4.0251
SP by Conitzer_12;0.48233;3.68995
SP by Conitzer_13;-1.63305;-5.92795
SP by Conitzer_14;-0.24783;4.453
SP by Conitzer_15;-0.15215;4.73661
SP by Conitzer_16;-2.07845;-6.15622
SP by Conitzer_17;-3.09184;-6.04663
SP by Conitzer_18;0.6587;3.53619
SP by Conitzer_19;-2.9873;-5.92914
SP by Walsh_0;9.57015;-5.23875
SP by Walsh_1;11.11215;-4.89871
SP by Walsh_2;10.5689;-5.56923
SP by Walsh_3;9.43219;-5.87262
SP by Walsh_4;10.81111;-5.6989
SP by Walsh_5;11.07961;-5.70976
SP by Walsh_6;10.56983;-5.08858
SP by Walsh_7;9.3465;-5.71863
SP by Walsh_8;10.63908;-5.32177
SP by Walsh_9;11.25352;-5.33976
SP by Walsh_10;9.07212;-5.99332
SP by Walsh_11;10.93437;-5.46544
SP by Walsh_12;10.46156;-5.40434
SP by Walsh_13;9.84369;-5.57662
SP by Walsh_14;11.41408;-5.2218
SP by Walsh_15;9.08816;-5.68743
SP by Walsh_16;10.4063;-5.87408
SP by Walsh_17;10.9879;-5.60818
SP by Walsh_18;11.14071;-5.09913
SP by Walsh_19;12.34783;-5.00629
SPOC_0;-9.3818;0.20518
SPOC_1;-7.62511;-0.08142
SPOC_2;-7.35306;-0.95623
SPOC_3;-6.52311;-0.99882
SPOC_4;-8.30799;-0.67576
SPOC_5;-8.37051;0.44241
SPOC_6;-9.67818;0.55424
SPOC_7;-7.62694;-0.3425
SPOC_8;-9.06082;0.14168
SPOC_9;-9.22634;0.95237
SPOC_10;-7.73597;0.82324
SPOC_11;-6.75876;-1.0025
SPOC_12;-9.19054;0.48284
SPOC_13;-8.89337;0.10444
SPOC_14;-8.9933;-0.18512
SPOC_15;-9.30463;0.34707
SPOC_16;-9.23778;0.7416
SPOC_17;-8.31983;-0.50842
SPOC_18;-8.16289;-0.60422
SPOC_19;-7.97889;0.40299
Single-Crossing_0;8.42282;-2.71987
Single-Crossing_1;6.11676;-0.24273
Single-Crossing_2;7.3797;-1.90769
Single-Crossing_3;7.78215;1.78114
Single-Crossing_4;5.85947;-2.62208
Single-Crossing_5;6.63798;-5.52762
Single-Crossing_6;3.9027;-5.54129
Single-Crossing_7;6.56964;-6.71056
Single-Crossing_8;7.40355;-7.0907
Single-Crossing_9;6.00047;-1.07714
Single-Crossing_10;6.35645;-7.09516
Single-Crossing_11;9.23641;-1.90443
Single-Crossing_12;6.39746;-2.29777
Single-Crossing_13;6.9062;-3.31644
Single-Crossing_14;9.72591;2.32814
Single-Crossing_15;7.59979;0.23778
Single-Crossing_16;5.52024;-5.04524
Single-Crossing_17;7.83161;-6.66907
Single-Crossing_18;6.36742;-6.08049
Single-Crossing_19;5.57391;-1.77528
1D Uniform_0;0.82983;3.66558
1D Uniform_1;1.3199;3.05238
1D Uniform_2;1.69614;3.87927
1D Uniform_3;0.69198;-5.07306
1D Uniform_4;4.03332;1.96223
1D Uniform_5;0.07255;-5.7095
1D Uniform_6;6.35074;4.01485
1D Uniform_7;0.10001;8.10234
1D Uniform_8;1.58813;1.56337
1D Uniform_9;1.07008;4.25954
1D Uniform_10;5.043;5.49043
1D Uniform_11;1.19046;3.78287
1D Uniform_12;5.62435;4.59485
1D Uniform_13;-0.53888;-6.05336
1D Uniform_14;0.81473;3.19774
1D Uniform_15;-1.53944;-6.12973
1D Uniform_16;0.20959;2.9775
1D Uniform_17;3.15638;1.20352
1D Uniform_18;-0.01721;7.13654
1D Uniform_19;0.55299;4.99038
2D Uniform_0;-2.53114;0.23251
2D Uniform_1;-0.26346;0.77893
2D Uniform_2;1.2355;-5.77162
2D Uniform_3;2.27248;0.66105
2D Uniform_4;-2.53407;-4.35439
2D Uniform_5;2.078;-0.81299
2D Uniform_6;0.56112;0.8031
2D Uniform_7;-1.22731;-0.556
2D Uniform_8;-0.05925;0.65879
2D Uniform_9;-0.23998;-1.04054
2D Uniform_10;2.89652;-2.76339
2D Uniform_11;1.67891;-1.08427
2D Uniform_12;-1.19837;-3.50809
2D Uniform_13;-2.07185;0.78123
2D Uniform_14;-2.63286;-5.79072
2D Uniform_15;1.82886;0.36268
2D Uniform_16;-4.09039;1.6124
2D Uniform_17;-2.08491;-4.04641
2D Uniform_18;-2.23171;-4.49925
2D Uniform_19;0.35246;0.37677
3D Uniform_0;-0.13416;0.01731
3D Uniform_1;-0.69352;-3.8846
3D Uniform_2;-2.28102;0.43535
3D Uniform_3;0.4832;-1.03787
3D Uniform_4;-3.88296;0.71773
3D Uniform_5;0.076;-4.00384
3D Uniform_6;2.21466;-4.54582
3D Uniform_7;-1.83179;0.69149
3D Uniform_8;-3.45048;0.09317
3D Uniform_9;0.63255;-6.08731
3D Uniform_10;-4.66566;0.82427
3D Uniform_11;-2.18363;1.15295
