instance_id;x;y
ID;2.20273;-0.23159
UN;0.42286;-0.23159
AN;1.14299;0.52946
ST;1.4732;-1.00795
Impartial Culture_0;0.51424;-0.19849
Impartial Culture_1;0.64812;-0.33402
Impartial Culture_2;0.58316;-0.22778
Impartial Culture_3;0.54754;-0.31361
Impartial Culture_4;0.55703;-0.20027
Impartial Culture_5;0.55747;-0.27817
Impartial Culture_6;0.69124;-0.23208
Impartial Culture_7;0.65025;-0.29334
Impartial Culture_8;0.6256;-0.38926
Impartial Culture_9;0.48167;-0.17853
Impartial Culture_10;0.58443;-0.38732
Impartial Culture_11;0.54703;-0.31292
Impartial Culture_12;0.55439;-0.26865
Impartial Culture_13;0.61936;-0.15841
Impartial Culture_14;0.53308;-0.23302
Impartial Culture_15;0.64936;-0.13168
Impartial Culture_16;0.52982;-0.16452
Impartial Culture_17;0.61659;-0.22005
Impartial Culture_18;0.6055;-0.26094
Impartial Culture_19;0.56986;-0.3429
SP by Conitzer_0;1.16696;-0.03865
SP by Conitzer_1;1.22038;-0.03843
SP by Conitzer_2;1.34568;-0.19395
SP by Conitzer_3;1.28765;-0.03971
SP by Conitzer_4;1.20642;-0.00203
SP by Conitzer_5;1.12612;0.0762
SP by Conitzer_6;1.25371;-0.11635
SP by Conitzer_7;1.09089;0.08955
SP by Conitzer_8;1.34101;-0.14404
SP by Conitzer_9;1.11981;0.17373
SP by Conitzer_10;1.10836;0.12445
SP by Conitzer_11;1.12788;0.03296
SP by Conitzer_12;1.20031;0.04505
SP by Conitzer_13;1.15961;0.01225
SP by Conitzer_14;1.16871;0.08034
SP by Conitzer_15;1.19347;0.11237
SP by Conitzer_16;1.22477;0.07178
SP by Conitzer_17;1.16677;0.1615
SP by Conitzer_18;1.23885;0.024
SP by Conitzer_19;1.14802;0.12753
SP by Walsh_0;1.50596;-0.64602
SP by Walsh_1;1.619;-0.59756
SP by Walsh_2;1.57935;-0.6191
SP by Walsh_3;1.4478;-0.77564
SP by Walsh_4;1.5467;-0.77788
SP by Walsh_5;1.61673;-0.73106
SP by Walsh_6;1.55605;-0.65418
SP by Walsh_7;1.45699;-0.71465
SP by Walsh_8;1.57468;-0.69765
SP by Walsh_9;1.65719;-0.6434
SP by Walsh_10;1.40633;-0.75643
SP by Walsh_11;1.61432;-0.66339
SP by Walsh_12;1.52198;-0.74785
SP by Walsh_13;1.47541;-0.76216
SP by Walsh_14;1.65419;-0.69781
SP by Walsh_15;1.45979;-0.67202
SP by Walsh_16;1.53473;-0.71586
SP by Walsh_17;1.58272;-0.75752
SP by Walsh_18;1.64841;-0.58299
SP by Walsh_19;1.70889;-0.64047
SPOC_0;0.47766;-0.25604
SPOC_1;0.69488;-0.24618
SPOC_2;0.66621;-0.37004
SPOC_3;0.74533;-0.30213
SPOC_4;0.60755;-0.35013
SPOC_5;0.5961;-0.19249
SPOC_6;0.4594;-0.20401
SPOC_7;0.6995;-0.28615
SPOC_8;0.50824;-0.27913
SPOC_9;0.49616;-0.13896
SPOC_10;0.68314;-0.14081
SPOC_11;0.70303;-0.36308
SPOC_12;0.50456;-0.20226
SPOC_13;0.52392;-0.2456
