instance_id;x;y
ID;87.96126;3.04864
UN;-47.37843;3.04864
AN;-9.79746;56.98521
ST;39.85151;-48.12308
Impartial Culture_0;-40.17281;2.49201
Impartial Culture_1;-40.42587;1.08754
Impartial Culture_2;-37.82971;1.8343
Impartial Culture_3;-37.77522;3.05863
Impartial Culture_4;-37.80231;0.88704
Impartial Culture_5;-39.30411;3.31415
Impartial Culture_6;-36.70993;-1.558
Impartial Culture_7;-38.48313;2.11256
Impartial Culture_8;-35.91721;-0.7834
Impartial Culture_9;-39.39171;1.79826
Impartial Culture_10;-34.36284;-1.68032
Impartial Culture_11;-37.48231;1.46842
Impartial Culture_12;-36.7366;-1.64685
Impartial Culture_13;-35.4471;1.65798
Impartial Culture_14;-36.59592;0.15325
Impartial Culture_15;-37.488;-1.48019
Impartial Culture_16;-38.99212;4.15421
Impartial Culture_17;-38.04675;3.85275
Impartial Culture_18;-34.67746;-0.15625
Impartial Culture_19;-37.20384;3.35039
SP by Conitzer_0;-0.47372;18.83176
SP by Conitzer_1;-7.45838;-19.02752
SP by Conitzer_2;-7.43751;25.0529
SP by Conitzer_3;-6.28596;21.24634
SP by Conitzer_4;2.99661;12.54579
SP by Conitzer_5;-4.72989;22.13654
SP by Conitzer_6;-11.09209;29.53651
SP by Conitzer_7;0.50414;17.16356
SP by Conitzer_8;-5.94881;21.76036
SP by Conitzer_9;-5.01638;22.07887
SP by Conitzer_10;-7.44119;23.05174
SP by Conitzer_11;1.47112;14.47615
SP by Conitzer_12;-4.48049;21.97512
SP by Conitzer_13;4.13945;16.05822
SP by Conitzer_14;-0.27041;16.75012
SP by Conitzer_15;-5.05635;22.65714
SP by Conitzer_16;-5.90721;22.81903
SP by Conitzer_17;-6.42039;23.341
SP by Conitzer_18;0.47049;14.76003
SP by Conitzer_19;-5.52486;20.79594
SP by Walsh_0;52.42484;-19.20196
SP by Walsh_1;54.25621;-19.77425
SP by Walsh_2;54.20388;-19.43215
SP by Walsh_3;51.87535;-19.14105
SP by Walsh_4;55.93442;-17.69699
SP by Walsh_5;53.99865;-17.09112
SP by Walsh_6;54.54501;-18.29101
SP by Walsh_7;52.91058;-17.40474
SP by Walsh_8;50.47409;-19.80114
SP by Walsh_9;51.03223;-19.10247
SP by Walsh_10;53.4362;-17.2709
SP by Walsh_11;51.47453;-17.30675
SP by Walsh_12;54.94473;-18.72702
SP by Walsh_13;49.38148;-19.82875
SP by Walsh_14;52.83501;-18.37432
SP by Walsh_15;52.6292;-18.04349
SP by Walsh_16;49.49384;-17.59141
SP by Walsh_17;54.09258;-18.65333
SP by Walsh_18;52.80595;-16.36526
SP by Walsh_19;55.10862;-17.14259
SPOC_0;-41.40593;1.78511
SPOC_1;-33.25651;0.71167
SPOC_2;-43.13127;2.8827
SPOC_3;-37.46028;-0.18421
SPOC_4;-43.43607;4.11161
SPOC_5;-33.87215;2.23127
SPOC_6;-39.21968;2.50273
SPOC_7;-42.49641;3.33662
SPOC_8;-43.14081;2.55245
SPOC_9;-41.42399;3.97247
SPOC_10;-32.08878;-2.18015
SPOC_11;-40.74093;0.95123
SPOC_12;-36.65873;-2.40735
SPOC_13;-41.69963;4.48715
SPOC_14;-34.58988;-2.64019
SPOC_15;-35.55799;-0.65131
SPOC_16;-35.78585;-2.56618
SPOC_17;-40.28553;-0.1925
SPOC_18;-39.52656;1.44487
SPOC_19;-29.27716;-4.02289
Single-Crossing_0;24.53541;-14.55622
Single-Crossing_1;27.21274;-4.17434
Single-Crossing_2;26.81996;-9.06739
Single-Crossing_3;21.4418;-11.60725
Single-Crossing_4;23.36808;-11.9895
Single-Crossing_5;22.61798;0.72033
Single-Crossing_6;27.85222;1.85613
Single-Crossing_7;19.38417;1.84565
Single-Crossing_8;19.30744;-22.14092
Single-Crossing_9;24.66776;-8.52582
Single-Crossing_10;19.8717;-4.38385
Single-Crossing_11;24.94143;-2.22568
Single-Crossing_12;27.42775;3.21123
Single-Crossing_13;32.20831;-4.30497
Single-Crossing_14;22.17252;-7.38228
Single-Crossing_15;26.02222;-0.25463
Single-Crossing_16;24.19952;-10.21558
Single-Crossing_17;20.50922;-21.4962
Single-Crossing_18;26.90208;-6.97358
Single-Crossing_19;26.31306;-12.88126
1D Uniform_0;-7.72039;32.02678
1D Uniform_1;-1.97446;21.98719
1D Uniform_2;0.55481;19.00473
1D Uniform_3;4.57077;20.8117
1D Uniform_4;-5.93813;24.28858
1D Uniform_5;-5.50705;26.49289
1D Uniform_6;0.78912;34.56169
1D Uniform_7;2.13367;25.55324
1D Uniform_8;-8.79236;-20.321
1D Uniform_9;1.39481;21.39668
1D Uniform_10;6.62933;23.14401
1D Uniform_11;4.34875;15.60198
1D Uniform_12;4.45859;16.72824
1D Uniform_13;0.83814;17.51741
1D Uniform_14;0.05785;24.83832
1D Uniform_15;-4.38418;31.41559
1D Uniform_16;-1.39396;22.49157
1D Uniform_17;-2.12301;19.91459
1D Uniform_18;-6.63778;24.46584
1D Uniform_19;0.01744;14.86145
2D Uniform_0;-8.03324;0.95931
2D Uniform_1;-12.61495;5.00626
2D Uniform_2;1.60597;1.36867
2D Uniform_3;1.53252;0.57845
2D Uniform_4;-5.68593;7.21133
2D Uniform_5;2.96681;-7.92588
2D Uniform_6;-2.15247;4.95818
2D Uniform_7;-6.93293;3.67844
