instance_id;value;time
Urn_40;0;0.0
Urn_41;0;0.0
Urn_42;0;0.0
Urn_43;0;0.0
Urn_44;0;0.0
Urn_45;0;0.0
Urn_46;0;0.0
Urn_47;0;0.0
Urn_48;0;0.0
Urn_49;0;0.0
Urn_50;0;0.0
Urn_51;0;0.0
Urn_52;0;0.0
Urn_53;0;0.0
Urn_54;0;0.0
Urn_55;0;0.0
Urn_56;0;0.0
Urn_57;0;0.0
Urn_58;0;0.0
Urn_59;0;0.0
Norm-Mallows_0;0;0.0
Norm-Mallows_1;0;0.0
Norm-Mallows_2;0;0.0
Norm-Mallows_3;0;0.0
Norm-Mallows_4;0;0.0
Norm-Mallows_5;0;0.0
Norm-Mallows_6;0;0.0
Norm-Mallows_7;0;0.0
Norm-Mallows_8;0;0.0
Norm-Mallows_9;0;0.0
Norm-Mallows_10;0;0.0
Norm-Mallows_11;0;0.0
Norm-Mallows_12;0;0.0
Norm-Mallows_13;0;0.0
Norm-Mallows_14;0;0.0
Norm-Mallows_15;0;0.0
Norm-Mallows_16;0;0.0
Norm-Mallows_17;0;0.0
Norm-Mallows_18;0;0.0
Norm-Mallows_19;0;0.0
Norm-Mallows_20;0;0.0
Norm-Mallows_21;0;0.0
Norm-Mallows_22;0;0.0
Norm-Mallows_23;0;0.0
Norm-Mallows_24;0;0.0
Norm-Mallows_25;0;0.0
Norm-Mallows_26;0;0.0
Norm-Mallows_27;0;0.0
Norm-Mallows_28;0;0.0
Norm-Mallows_29;0;0.0
Norm-Mallows_30;0;0.0
Norm-Mallows_31;0;0.0
Norm-Mallows_32;0;0.0
Norm-Mallows_33;0;0.0
Norm-Mallows_34;0;0.0
Norm-Mallows_35;0;0.0
Norm-Mallows_36;0;0.0
Norm-Mallows_37;0;0.0
Norm-Mallows_38;0;0.0
Norm-Mallows_39;0;0.0
Norm-Mallows_40;0;0.0
Norm-Mallows_41;0;0.0
Norm-Mallows_42;0;0.0
Norm-Mallows_43;0;0.0
Norm-Mallows_44;0;0.0
Norm-Mallows_45;0;0.0
Norm-Mallows_46;0;0.0
Norm-Mallows_47;0;0.0
Norm-Mallows_48;0;0.0
Norm-Mallows_49;0;0.0
Norm-Mallows_50;0;0.0
Norm-Mallows_51;0;0.0
Norm-Mallows_52;0;0.0
Norm-Mallows_53;0;0.0
Norm-Mallows_54;0;0.0
Norm-Mallows_55;0;0.0
Norm-Mallows_56;0;0.0
Norm-Mallows_57;0;0.0
Norm-Mallows_58;0;0.0
Norm-Mallows_59;0;0.0
GS Balanced_0;0;0.0
GS Balanced_1;0;0.0
GS Balanced_2;0;0.0
GS Balanced_3;0;0.0
GS Balanced_4;0;0.0
GS Balanced_5;0;0.0
GS Balanced_6;0;0.0
GS Balanced_7;0;0.0
GS Balanced_8;0;0.0
GS Balanced_9;0;0.0
GS Balanced_10;0;0.0
GS Balanced_11;0;0.0
GS Balanced_12;0;0.0
GS Balanced_13;0;0.0
GS Balanced_14;0;0.0
GS Balanced_15;0;0.0
GS Balanced_16;0;0.0009965896606445312
GS Balanced_17;0;0.0
GS Balanced_18;0;0.0
GS Balanced_19;0;0.0
GS Caterpillar_0;0;0.0
GS Caterpillar_1;0;0.0
GS Caterpillar_2;0;0.0
GS Caterpillar_3;0;0.0
GS Caterpillar_4;0;0.0
GS Caterpillar_5;0;0.0
GS Caterpillar_6;0;0.0
GS Caterpillar_7;0;0.0
GS Caterpillar_8;0;0.0
GS Caterpillar_9;0;0.0
GS Caterpillar_10;0;0.0
GS Caterpillar_11;0;0.0
GS Caterpillar_12;0;0.0
GS Caterpillar_13;0;0.0
GS Caterpillar_14;0;0.0
GS Caterpillar_15;0;0.0
GS Caterpillar_16;0;0.0
GS Caterpillar_17;0;0.0
GS Caterpillar_18;0;0.0
GS Caterpillar_19;0;0.0
ID;0;0.0
AN;0;0.0
ST;0;0.0
UN;0;0.0
pseudo_0;9.158309925730535;0.0
pseudo_1;9.226210881621837;0.0
pseudo_2;9.04935130220911;0.0
pseudo_3;8.716738956582304;0.0
pseudo_4;8.714867608706678;0.0
pseudo_5;8.847726596232363;0.0
pseudo_6;8.938782835260405;0.0
pseudo_7;8.925912728407672;0.0
pseudo_8;8.800392505397554;0.0
pseudo_9;8.95761173821509;0.0
pseudo_10;8.95761173821509;0.0
pseudo_11;8.658490848678149;0.0
pseudo_12;8.57209925074942;0.0
pseudo_13;9.092525456872885;0.0
pseudo_14;8.658776373824214;0.0009970664978027344
pseudo_15;8.526256248865712;0.0
pseudo_16;8.88654178479046;0.0
pseudo_17;8.800392505397554;0.0
pseudo_18;8.256103753669604;0.0
pseudo_19;9.092525456872885;0.0
